Doc_ID,Sentiment,Cleaned
0,Negative,b look like action someon covid wuhancoronaviru ndoe access vaccin nd xe x xa http co p hnizmp u
1,Positive,b cdnpoliticalsa muddywatersr get plagu mani good pay manufactur job xe x xa http co xeg olmrjm
2,Negative,b good morn fellow inmat lifeinlockdown isol isolationlif isolationcr isolationn xe x xa http co u seetu
3,Negative,b charleshoo garypnabhan take gay charl button di xf x f xa xa sorri gay u xe x xa http co kdbekequzb
4,Neutral,b stevencha decouplechina gain steam n ncdnpoli bcpoli vanr ccp china tiananmensquaremassacr xe x xa http co ktkewfdc
5,Neutral,b stevencha globeandmail viru busi usual ottawa thuggish ccp n ncdnpoli bcpoli china xe x xa http co sgpecv qwv
6,Neutral,b coronavirushow wuhancoronaviru human surviv thousand year without vaccin human need xe x xa http co lgboglcto
7,Negative,b went xe x x flatten curv xe x x choo economi viru nwuhancoronaviru xe x xa http co pvqkw zkzk
8,Neutral,b obliviscor nah wuhancoronaviru
9,Negative,b seem john hopkin univ start manipul number wuhancoronaviru case fulfil th xe x xa http co g pnau f
10,Negative,b avoid get blame wuhancoronaviru china creat conflict like situat southchinasea xe x xa http co z f enuyd
11,Negative,b epochtim think peopl die counti overdo rule wuhancoronaviru death
12,Neutral,b nicolearbour notic think thing wuhancoronaviru seem leak lab xe x xa http co tbre rzw
13,Negative,b monettiformo thi cannot stand thi usa xf x f x xba xf x f x xb wuhancoronaviru use deni basic freedom time wake xe x xa http co tyvmxbrdfj
14,Neutral,b xf x f x xb new video channel tell covid click link right xf x f x xb http co u xbzvi xe x xa http co om hsylrc
15,Negative,b allisonpearson ff xe x x xef xb x f ni best govern npatienc wear thin xe x x exitstrategi xe x x xef xb x f xe x xa http co vvhehdgbzr
16,Neutral,b one thing wuhancoronaviru pandem taught never insult mock religi leader ag xe x xa http co aib atn et
17,Positive,b wuhancoronaviru upend fentanyl suppli chain cau rippl effect cut profit xe x xa http co mqmrnccygo
18,Neutral,b would shoot nwuhancoronaviru covid n http co ee ymfmji
19,Positive,b secupp darwin law natur select proven correct yet xf x f x x xf x f x x wuhancoronaviru
20,Neutral,b mallen redstateblond kengardn nation begin open get clear xe x xa http co c uq fdk
21,Negative,b wuhancoronaviru death greatli exagg http co pbp tcxsqi
22,Negative,b world wide wuhancoronaviru death put dent billion popul earth openamericanow
23,Neutral,b viru creat natur nbut natur play roll cure n nfiretam n ncovid wuhancoronaviru xe x xa http co vdlsmnztak
24,Neutral,b cdnpoliticalsa muddywatersr decouplechina fast possibl set record move manufactur pp xe x xa http co ymjfgrea
25,Neutral,b wuhancoronaviru death indiana age age much talk point
26,Negative,b jcpunongbayan traitor westphilippinesea covid wuhancoronaviru wuhanviru china go nmsl xf x f xa xac
27,Negative,b februari amp cdc knew wuhancoronaviru pandem xe x x believ xe x xa http co zykppatq
28,Neutral,b februari xe x x call wuhancoronaviru pandem main focu make sure viru name xe x xa http co upiutox
29,Negative,b mani wuhancoronaviru death inflat exampl man could kill car accid xe x xa http co mb syomi
30,Negative,b govmurphi hmm xe x x dliter xe x x war open nj park learn week quickli second xe x xa http co e imap g
